mins-pm,team,opponent,cs-pm,conceded-pm,saves-pm,penalty-saves-pm,yellow-cards-pm,red-cards-pm,bonus-pm,current-form,total
0.0,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
90.0,4,4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1
90.0,4,3,0.0,1.5,0.5,0.0,0.0,0.0,0.0,1.5,1
90.0,4,5,0.0,1.3333333333333333,1.0,0.0,0.3333333333333333,0.0,0.0,1.3333333333333333,3
90.0,4,2,0.0,1.5,2.25,0.0,0.25,0.0,0.0,1.6666666666666667,6
90.0,4,4,0.2,1.2,2.2,0.0,0.2,0.0,0.0,3.333333333333333,3
90.0,4,4,0.16666666666666666,1.1666666666666667,2.5,0.0,0.16666666666666666,0.0,0.0,4.0,1
90.0,4,2,0.14285714285714285,1.2857142857142858,2.2857142857142856,0.0,0.14285714285714285,0.0,0.0,3.333333333333333,1
90.0,4,2,0.125,1.375,2.25,0.0,0.125,0.0,0.0,1.6666666666666667,7
90.0,4,3,0.2222222222222222,1.2222222222222223,2.333333333333333,0.0,0.1111111111111111,0.0,0.0,3.0,6
90.0,4,3,0.3,1.1,2.3,0.0,0.1,0.0,0.0,4.666666666666667,2
90.0,4,4,0.2727272727272727,1.181818181818182,2.363636363636364,0.0,0.09090909090909093,0.0,0.0,5.0,1
69.86666666666666,4,3,0.2,0.9333333333333332,1.7333333333333334,0.0,0.06666666666666668,0.0,0.0,0.0,3
71.125,4,4,0.1875,0.9375,1.8125,0.0,0.0625,0.0,0.0,1.0,3
72.23529411764707,4,2,0.17647058823529413,1.0,2.176470588235294,0.0,0.05882352941176471,0.0,0.0,2.0,2
73.22222222222223,4,3,0.16666666666666666,1.0,2.1111111111111107,0.0,0.05555555555555555,0.0,0.0,2.6666666666666665,3
74.10526315789474,4,3,0.15789473684210525,1.0,2.1578947368421053,0.0,0.05263157894736842,0.0,0.0,2.6666666666666665,2
0.0,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2.571428571428572,2,3,0.0,0.057142857142857134,0.08571428571428573,0.0,0.028571428571428567,0.0,0.0,0.3333333333333333,6
5.0,2,3,0.027777777777777776,0.05555555555555555,0.1111111111111111,0.0,0.027777777777777776,0.0,0.0,2.333333333333333,0
0.0,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
90.0,2,3,1.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,7
90.0,2,2,1.0,0.0,3.0,0.0,0.0,0.0,0.0,6.5,1
90.0,2,4,0.6666666666666666,0.3333333333333333,2.6666666666666665,0.0,0.3333333333333333,0.0,0.0,4.666666666666667,7
90.0,2,4,0.75,0.25,2.25,0.0,0.25,0.0,0.25,5.0,1
90.0,2,4,0.6,0.8,2.0,0.0,0.2,0.0,0.2,3.0,2
90.0,2,5,0.5,1.1666666666666667,2.333333333333333,0.0,0.16666666666666666,0.0,0.16666666666666666,3.333333333333333,2
90.0,2,4,0.42857142857142855,1.2857142857142858,2.7142857142857144,0.0,0.14285714285714285,0.0,0.14285714285714285,1.6666666666666667,2
90.0,2,2,0.375,1.5,2.75,0.0,0.125,0.0,0.125,2.0,1
90.0,2,4,0.3333333333333333,1.5555555555555556,2.6666666666666665,0.0,0.1111111111111111,0.0,0.1111111111111111,1.6666666666666667,2
90.0,2,3,0.3,1.6,2.9,0.0,0.1,0.0,0.1,1.6666666666666667,7
90.0,2,3,0.3636363636363637,1.4545454545454546,3.0909090909090913,0.0,0.09090909090909093,0.0,0.09090909090909093,3.333333333333333,3
90.0,2,3,0.3333333333333333,1.4166666666666667,3.083333333333333,0.0,0.08333333333333333,0.0,0.08333333333333333,4.0,3
90.0,2,3,0.3076923076923077,1.3846153846153846,3.0769230769230766,0.0,0.07692307692307693,0.0,0.07692307692307693,4.333333333333333,7
90.0,2,3,0.35714285714285715,1.2857142857142858,3.2142857142857144,0.0,0.07142857142857142,0.0,0.07142857142857142,4.333333333333333,3
90.0,2,2,0.3333333333333333,1.2666666666666666,3.2,0.0,0.06666666666666668,0.0,0.06666666666666668,4.333333333333333,3
90.0,2,4,0.3125,1.25,3.25,0.0,0.0625,0.0,0.0625,4.333333333333333,3
90.0,2,3,0.29411764705882354,1.2352941176470589,3.5294117647058822,0.0,0.1176470588235294,0.0,0.05882352941176471,3.0,2
90.0,2,2,0.2777777777777778,1.2222222222222223,3.388888888888889,0.0,0.1111111111111111,0.0,0.05555555555555555,2.6666666666666665,7
90.0,2,3,0.3157894736842105,1.1578947368421053,3.3684210526315788,0.0,0.10526315789473684,0.0,0.05263157894736842,4.0,6
90.0,2,3,0.35,1.1,3.2,0.0,0.1,0.0,0.05,5.0,2
90.0,2,4,0.3333333333333333,1.0952380952380951,3.1428571428571432,0.0,0.09523809523809523,0.0,0.047619047619047616,5.0,2
90.0,2,4,0.3181818181818182,1.1363636363636365,3.136363636363636,0.0,0.09090909090909093,0.0,0.045454545454545456,3.333333333333333,1
90.0,2,4,0.3043478260869565,1.3043478260869563,3.1304347826086962,0.0,0.08695652173913042,0.0,0.043478260869565216,1.6666666666666667,2
90.0,2,2,0.2916666666666667,1.3333333333333333,3.125,0.0,0.08333333333333333,0.0,0.04166666666666666,1.6666666666666667,1
90.0,2,3,0.28,1.36,3.08,0.0,0.08,0.0,0.04,1.3333333333333333,2
90.0,2,3,0.2692307692307692,1.3846153846153846,3.1153846153846154,0.0,0.07692307692307693,0.0,0.038461538461538464,1.6666666666666667,3
