mins-pm,team,opponent,goals-pm,assists-pm,yellow-cards-pm,red-cards-pm,bonus-pm,current-form,total
0.0,4,3,0.0,0.0,0.0,0.0,0.0,0.0,1
3.5,4,2,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1
4.5,4,4,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1
4.333333333333333,4,3,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1
3.8461538461538463,4,3,0.0,0.0,0.0,0.0,0.0,0.0,1
4.285714285714286,4,3,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1
5.866666666666666,4,3,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1
0.0,4,3,0.0,0.0,0.0,0.0,0.0,0.0,1
29.0,4,4,0.0,0.0,0.0,0.0,0.0,1.0,5
6.727272727272728,4,4,0.09090909090909093,0.0,0.0,0.0,0.0,0.0,4
7.333333333333332,4,2,0.16666666666666666,0.0,0.08333333333333333,0.0,0.0,1.3333333333333333,2
12.692307692307693,4,3,0.15384615384615385,0.0,0.07692307692307693,0.0,0.0,2.0,1
13.642857142857142,4,3,0.14285714285714285,0.0,0.07142857142857142,0.0,0.0,2.333333333333333,2
16.866666666666667,4,3,0.13333333333333333,0.0,0.06666666666666668,0.0,0.0,1.6666666666666667,13
20.3125,4,4,0.25,0.0,0.0625,0.0,0.1875,5.333333333333333,6
23.882352941176467,4,2,0.29411764705882354,0.0,0.05882352941176471,0.0,0.17647058823529413,7.0,-2
22.9,4,3,0.25,0.0,0.05,0.05,0.15,-0.6666666666666666,2
25.23809523809524,4,5,0.2380952380952381,0.0,0.047619047619047616,0.047619047619047616,0.14285714285714285,0.6666666666666666,8
28.181818181818183,4,2,0.2727272727272727,0.0,0.045454545454545456,0.045454545454545456,0.2272727272727273,3.333333333333333,10
29.956521739130434,4,4,0.3043478260869565,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.2608695652173913,6.666666666666668,4
32.458333333333336,4,3,0.2916666666666667,0.08333333333333333,0.08333333333333333,0.04166666666666666,0.25,7.333333333333332,0
32.08,4,3,0.28,0.08,0.12,0.04,0.24,4.666666666666667,7
34.30769230769231,4,4,0.3076923076923077,0.07692307692307693,0.15384615384615385,0.038461538461538464,0.3076923076923077,3.6666666666666665,5
36.37037037037037,4,2,0.3333333333333333,0.07407407407407407,0.1851851851851852,0.037037037037037035,0.2962962962962963,4.0,8
38.285714285714285,4,3,0.35714285714285715,0.07142857142857142,0.17857142857142858,0.03571428571428571,0.35714285714285715,6.666666666666668,11
40.06896551724138,4,3,0.3793103448275862,0.10344827586206896,0.1724137931034483,0.03448275862068965,0.4137931034482759,8.0,13
41.73333333333333,4,4,0.43333333333333335,0.1,0.16666666666666666,0.03333333333333333,0.5,10.666666666666666,7
43.29032258064516,4,3,0.4516129032258064,0.0967741935483871,0.16129032258064516,0.03225806451612903,0.5161290322580645,10.333333333333334,2
43.12121212121213,4,4,0.42424242424242425,0.09090909090909093,0.15151515151515152,0.030303030303030307,0.4848484848484849,3.0,2
44.29411764705883,4,2,0.4117647058823529,0.08823529411764706,0.14705882352941174,0.029411764705882356,0.4705882352941176,1.3333333333333333,2
45.457142857142856,4,3,0.4,0.08571428571428573,0.14285714285714285,0.028571428571428567,0.4571428571428571,1.3333333333333333,2
46.08333333333334,4,4,0.3888888888888889,0.08333333333333333,0.1388888888888889,0.027777777777777776,0.4444444444444444,2.0,2
47.91780821917809,4,2,0.3835616438356164,0.0821917808219178,0.136986301369863,0.0273972602739726,0.4383561643835616,2.0,2
49.7027027027027,4,2,0.3783783783783784,0.08108108108108109,0.13513513513513514,0.027027027027027032,0.4324324324324325,2.0,1
0.0,4,3,0.0,0.0,0.0,0.0,0.0,0.0,2
30.5,4,3,0.0,0.0,0.0,0.0,0.0,1.0,5
13.7,4,3,0.0,0.1,0.0,0.0,0.0,0.0,1
6.571428571428571,3,3,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,1
9.818181818181818,3,4,0.0,0.045454545454545456,0.045454545454545456,0.0,0.0,0.3333333333333333,2
12.434782608695652,3,3,0.0,0.043478260869565216,0.043478260869565216,0.0,0.0,1.0,1
13.791666666666664,3,3,0.0,0.04166666666666666,0.04166666666666666,0.0,0.0,1.3333333333333333,1
12.714285714285715,3,2,0.0,0.03571428571428571,0.03571428571428571,0.0,0.0,0.0,1
12.233333333333333,3,5,0.0,0.03333333333333333,0.03333333333333333,0.0,0.0,0.3333333333333333,1
12.096774193548386,3,2,0.0,0.03225806451612903,0.03225806451612903,0.0,0.0,0.6666666666666666,1
12.34375,3,2,0.0,0.03125,0.03125,0.0,0.0,0.6666666666666666,1
12.303030303030305,3,2,0.0,0.030303030303030307,0.030303030303030307,0.0,0.0,1.0,1
12.882352941176471,3,4,0.0,0.029411764705882356,0.029411764705882356,0.0,0.0,1.0,1
0.0,4,3,0.0,0.0,0.0,0.0,0.0,0.0,1
0.3181818181818182,4,2,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,4
1.2173913043478262,4,4,0.0,0.043478260869565216,0.0,0.0,0.0,1.3333333333333333,1
0.0,4,4,0.0,0.0,0.0,0.0,0.0,0.0,1
2.4285714285714284,4,2,0.0,0.0,0.0,0.0,0.0,0.0,1
2.7857142857142856,4,3,0.0,0.0,0.0,0.0,0.0,0.0,1
2.5,4,4,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1
0.0,2,3,0.0,0.0,0.0,0.0,0.0,0.0,1
90.0,2,3,0.0,0.0,1.0,0.0,0.0,1.0,2
