Name,MP ,GS ,A ,CS ,GC ,OG ,PS ,PM ,YC ,RC ,S ,B ,ESP ,BPS ,TP ,Team,Score,Opponent,H/A,GW,Pos,Difficulty rank,Difficulty desc,PID,Own%,Date,KO time,Season start price,Season end price
Pienaar,80,0,1,0,1,0,0,0,0,0,0,1,12,25,6,EVE,2 - 2,LEI,Away,1,MID,6,Favourable,146,1.3%,16/08/2014,15:00,6.0,5.7
Mirallas,10,0,0,0,1,0,0,0,0,0,0,0,2,2,1,EVE,2 - 2,LEI,Away,1,MID,6,Favourable,147,4.3%,16/08/2014,15:00,7.5,7.2
McCarthy,90,0,0,0,2,0,0,0,0,0,0,0,9,17,2,EVE,2 - 2,LEI,Away,1,MID,6,Favourable,148,2.4%,16/08/2014,15:00,5.0,4.6
McGeady,84,1,0,0,1,0,0,0,0,0,0,0,20,24,7,EVE,2 - 2,LEI,Away,1,MID,6,Favourable,149,1.7%,16/08/2014,15:00,5.5,5.3
Barry,90,0,0,0,2,0,0,0,1,0,0,0,10,13,1,EVE,2 - 2,LEI,Away,1,MID,6,Favourable,151,3.7%,16/08/2014,15:00,5.0,4.7
Lukaku,90,0,0,0,2,0,0,0,0,0,0,0,6,6,2,EVE,2 - 2,LEI,Away,1,FWD,6,Favourable,103,12.3%,16/08/2014,15:00,9.0,8.7
Naismith,90,1,0,0,2,0,0,0,0,0,0,3,27,36,9,EVE,2 - 2,LEI,Away,1,FWD,6,Favourable,152,3.7%,16/08/2014,15:00,5.0,4.7
McGregor,90,0,0,1,0,0,1,0,0,0,5,2,18,42,14,HUL,1 - 0,QPR,Away,1,GKP,6,Favourable,155,2.7%,16/08/2014,15:00,5.0,4.7
Chester,90,1,0,1,0,0,0,0,0,0,0,3,43,48,15,HUL,1 - 0,QPR,Away,1,DEF,6,Favourable,158,6.7%,16/08/2014,15:00,4.5,4.3
McShane,45,0,0,0,0,0,0,0,0,0,0,0,9,5,1,HUL,1 - 0,QPR,Away,1,DEF,6,Favourable,159,1.8%,16/08/2014,15:00,4.0,3.9
Bruce,45,0,0,0,0,0,0,0,0,0,0,0,10,7,1,HUL,1 - 0,QPR,Away,1,DEF,6,Favourable,161,19.6%,16/08/2014,15:00,4.0,4.0
Davies,90,0,0,1,0,0,0,0,1,0,0,0,16,21,5,HUL,1 - 0,QPR,Away,1,DEF,6,Favourable,163,4.7%,16/08/2014,15:00,5.0,4.7
Robertson,90,0,0,1,0,0,0,0,0,0,0,1,20,27,7,HUL,1 - 0,QPR,Away,1,DEF,6,Favourable,545,0.6%,16/08/2014,15:00,4.5,4.2
Quinn,51,0,1,0,0,0,0,0,0,0,0,0,15,18,4,HUL,1 - 0,QPR,Away,1,MID,6,Favourable,164,0.3%,16/08/2014,15:00,4.5,4.4
Meyler,9,0,0,0,0,0,0,0,0,0,0,0,1,1,1,HUL,1 - 0,QPR,Away,1,MID,6,Favourable,166,0.1%,16/08/2014,15:00,5.0,4.7
Elmohamady,90,0,0,1,0,0,0,0,0,0,0,0,18,16,3,HUL,1 - 0,QPR,Away,1,MID,6,Favourable,167,1.5%,16/08/2014,15:00,5.0,5.0
Huddlestone,90,0,0,1,0,0,0,0,0,0,0,0,15,17,3,HUL,1 - 0,QPR,Away,1,MID,6,Favourable,169,2.8%,16/08/2014,15:00,5.5,5.3
Livermore,90,0,0,1,0,0,0,0,0,0,0,0,14,13,3,HUL,1 - 0,QPR,Away,1,MID,6,Favourable,170,1.3%,16/08/2014,15:00,5.5,5.1
Ince,81,0,0,1,0,0,0,0,0,0,0,0,34,3,3,HUL,1 - 0,QPR,Away,1,MID,6,Favourable,172,2.1%,16/08/2014,15:00,5.5,5.0
Snodgrass,39,0,0,0,0,0,0,0,0,0,0,0,7,4,1,HUL,1 - 0,QPR,Away,1,MID,6,Favourable,173,1.4%,16/08/2014,15:00,6.0,5.6
Jelavic,90,0,0,1,0,0,0,0,1,0,0,0,4,0,1,HUL,1 - 0,QPR,Away,1,FWD,6,Favourable,174,2.0%,16/08/2014,15:00,6.0,5.6
Guzan,90,0,0,1,0,0,0,0,0,0,2,0,15,22,6,AVL,1 - 0,STK,Away,1,GKP,19,Difficult,30,6.3%,16/08/2014,15:00,4.5,4.6
Vlaar,90,0,0,1,0,0,0,0,0,0,0,2,12,23,8,AVL,1 - 0,STK,Away,1,DEF,19,Difficult,34,24.8%,16/08/2014,15:00,4.5,4.3
Senderos,90,0,0,1,0,0,0,0,0,0,0,0,19,19,6,AVL,1 - 0,STK,Away,1,DEF,19,Difficult,39,0.7%,16/08/2014,15:00,4.5,4.3
Hutton,90,0,0,1,0,0,0,0,1,0,0,0,13,16,5,AVL,1 - 0,STK,Away,1,DEF,19,Difficult,539,5.2%,16/08/2014,15:00,4.0,4.3
Cissokho,90,0,0,1,0,0,0,0,0,0,0,0,13,21,6,AVL,1 - 0,STK,Away,1,DEF,19,Difficult,558,0.9%,16/08/2014,15:00,4.5,4.4
Delph,90,0,0,1,0,0,0,0,0,0,0,0,11,11,3,AVL,1 - 0,STK,Away,1,MID,19,Difficult,40,1.7%,16/08/2014,15:00,5.0,4.8
N'Zogbia,70,0,0,1,0,0,0,0,0,0,0,0,19,2,3,AVL,1 - 0,STK,Away,1,MID,19,Difficult,41,0.4%,16/08/2014,15:00,5.5,5.2
Westwood,90,0,0,1,0,0,0,0,1,0,0,0,19,8,2,AVL,1 - 0,STK,Away,1,MID,19,Difficult,44,0.7%,16/08/2014,15:00,5.0,4.7
Bacuna,9,0,0,0,0,0,0,0,0,0,0,0,-3,-1,1,AVL,1 - 0,STK,Away,1,MID,19,Difficult,45,0.3%,16/08/2014,15:00,5.5,5.0
Grealish,20,0,0,0,0,0,0,0,0,0,0,0,4,2,1,AVL,1 - 0,STK,Away,1,MID,19,Difficult,49,0.2%,16/08/2014,15:00,4.5,4.3
Richardson,90,0,0,1,0,0,0,0,0,0,0,0,20,11,3,AVL,1 - 0,STK,Away,1,MID,19,Difficult,51,0.3%,16/08/2014,15:00,5.0,4.9
Agbonlahor,90,0,0,1,0,0,0,0,1,0,0,0,8,-2,1,AVL,1 - 0,STK,Away,1,FWD,19,Difficult,52,2.3%,16/08/2014,15:00,5.5,5.0
Weimann,81,1,0,1,0,0,0,0,0,0,0,3,33,29,9,AVL,1 - 0,STK,Away,1,FWD,19,Difficult,53,4.3%,16/08/2014,15:00,5.5,5.1
Mannone,90,0,0,0,2,0,0,0,0,0,3,0,9,11,2,SUN,2 - 2,WBA,Away,1,GKP,8,Favourable,422,9.9%,16/08/2014,15:00,4.5,4.1
O'Shea,90,0,0,0,2,0,0,0,0,0,0,0,6,11,1,SUN,2 - 2,WBA,Away,1,DEF,8,Favourable,424,8.7%,16/08/2014,15:00,4.5,4.6
Brown,80,0,0,0,2,0,0,0,0,0,0,0,9,14,1,SUN,2 - 2,WBA,Away,1,DEF,8,Favourable,425,0.6%,16/08/2014,15:00,4.5,4.3
Roberge,90,0,0,0,2,0,0,0,1,0,0,0,2,8,0,SUN,2 - 2,WBA,Away,1,DEF,8,Favourable,427,0.4%,16/08/2014,15:00,4.0,4.0
van Aanholt,90,0,1,0,2,0,0,0,0,0,0,0,15,22,4,SUN,2 - 2,WBA,Away,1,DEF,8,Favourable,541,1.2%,16/08/2014,15:00,4.5,4.1
Rodwell,67,0,0,0,1,0,0,0,0,0,0,0,6,7,2,SUN,2 - 2,WBA,Away,1,MID,8,Favourable,243,2.7%,16/08/2014,15:00,5.0,4.7
Johnson,72,0,0,0,1,0,0,0,0,0,0,0,6,8,2,SUN,2 - 2,WBA,Away,1,MID,8,Favourable,429,7.2%,16/08/2014,15:00,6.5,5.9
Cattermole,90,1,0,0,2,0,0,0,0,0,0,1,29,25,8,SUN,2 - 2,WBA,Away,1,MID,8,Favourable,430,3.4%,16/08/2014,15:00,4.5,4.3
Larsson,90,1,0,0,2,0,0,0,0,0,0,2,34,39,9,SUN,2 - 2,WBA,Away,1,MID,8,Favourable,431,2.6%,16/08/2014,15:00,5.5,5.3
Gómez,23,0,0,0,1,0,0,0,0,0,0,0,2,2,1,SUN,2 - 2,WBA,Away,1,MID,8,Favourable,439,0.3%,16/08/2014,15:00,5.5,5.1
Buckley,18,0,0,0,1,0,0,0,0,0,0,0,2,2,1,SUN,2 - 2,WBA,Away,1,MID,8,Favourable,568,0.0%,16/08/2014,15:00,5.5,5.0
Wickham,90,0,0,0,2,0,0,0,0,0,0,0,3,8,2,SUN,2 - 2,WBA,Away,1,FWD,8,Favourable,440,2.0%,16/08/2014,15:00,6.0,5.6
Fletcher,90,0,0,0,2,0,0,0,0,0,0,0,7,5,2,SUN,2 - 2,WBA,Away,1,FWD,8,Favourable,441,0.8%,16/08/2014,15:00,5.5,5.0
Altidore,10,0,0,0,0,0,0,0,0,0,0,0,1,3,1,SUN,2 - 2,WBA,Away,1,FWD,8,Favourable,444,0.4%,16/08/2014,15:00,5.5,5.1
Lloris,90,0,0,1,0,0,0,0,0,0,4,0,18,24,7,TOT,1 - 0,WHU,Away,1,GKP,10,Favourable,364,8.5%,16/08/2014,15:00,5.5,5.4
Rose,90,0,0,1,0,0,0,0,0,0,0,0,18,18,6,TOT,1 - 0,WHU,Away,1,DEF,10,Favourable,366,1.4%,16/08/2014,15:00,5.0,4.8
