mins-pm,team,opponent,cs-pm,conceded-pm,goals-pm,assists-pm,yellow-cards-pm,red-cards-pm,bonus-pm,current-form,total
0.0,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
45.0,4,3,0.0,0.5,0.5,0.0,0.0,0.0,1.0,5.0,1
38.333333333333336,4,5,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,3.6666666666666665,1
51.25,4,2,0.0,1.0,0.25,0.0,0.0,0.0,0.5,0.6666666666666666,6
59.0,4,4,0.2,0.8,0.2,0.0,0.0,0.0,0.4,2.6666666666666665,2
64.16666666666667,4,4,0.16666666666666666,0.8333333333333334,0.16666666666666666,0.0,0.0,0.0,0.3333333333333333,3.0,0
39.583333333333336,4,2,0.08333333333333333,0.5833333333333334,0.08333333333333333,0.0,0.08333333333333333,0.0,0.16666666666666666,0.0,6
43.46153846153846,4,3,0.15384615384615385,0.5384615384615384,0.07692307692307693,0.0,0.07692307692307693,0.0,0.15384615384615385,2.0,7
36.388888888888886,4,3,0.16666666666666666,0.3888888888888889,0.05555555555555555,0.0,0.05555555555555555,0.0,0.16666666666666666,0.0,2
39.21052631578947,4,3,0.15789473684210525,0.42105263157894735,0.05263157894736842,0.0,0.05263157894736842,0.0,0.15789473684210525,0.6666666666666666,1
41.75,4,3,0.15,0.5,0.05,0.0,0.05,0.0,0.15,1.0,14
44.047619047619044,4,5,0.19047619047619047,0.4761904761904762,0.09523809523809523,0.0,0.047619047619047616,0.0,0.2380952380952381,5.666666666666668,5
46.13636363636363,4,2,0.2272727272727273,0.4545454545454545,0.09090909090909093,0.0,0.09090909090909093,0.0,0.2272727272727273,6.666666666666668,6
48.04347826086956,4,4,0.2608695652173913,0.43478260869565216,0.08695652173913042,0.0,0.08695652173913042,0.0,0.21739130434782608,8.333333333333334,0
49.79166666666666,4,3,0.25,0.5,0.08333333333333333,0.0,0.125,0.0,0.20833333333333331,3.6666666666666665,10
51.4,4,3,0.24,0.52,0.12,0.0,0.12,0.0,0.28,5.333333333333333,2
52.884615384615394,4,4,0.2307692307692308,0.5384615384615384,0.1153846153846154,0.0,0.1153846153846154,0.0,0.2692307692307692,4.0,5
54.25925925925926,4,2,0.25925925925925924,0.5185185185185185,0.1111111111111111,0.0,0.14814814814814814,0.0,0.25925925925925924,5.666666666666668,1
54.25,4,3,0.25,0.5357142857142857,0.10714285714285714,0.0,0.14285714285714285,0.0,0.25,2.6666666666666665,7
55.48275862068966,4,3,0.27586206896551724,0.5172413793103449,0.10344827586206896,0.0,0.13793103448275862,0.0,0.27586206896551724,4.333333333333333,2
56.63333333333333,4,4,0.26666666666666666,0.5333333333333333,0.1,0.0,0.13333333333333333,0.0,0.26666666666666666,3.333333333333333,1
56.354838709677416,4,3,0.25806451612903225,0.5161290322580645,0.0967741935483871,0.0,0.12903225806451613,0.0,0.25806451612903225,3.333333333333333,7
55.66666666666666,4,4,0.2727272727272727,0.4848484848484849,0.09090909090909093,0.0,0.12121212121212123,0.0,0.2727272727272727,2.6666666666666665,9
56.67647058823529,4,2,0.29411764705882354,0.4705882352941176,0.08823529411764706,0.0,0.1176470588235294,0.0,0.35294117647058826,5.333333333333333,2
57.62857142857143,4,3,0.2857142857142857,0.4857142857142857,0.08571428571428573,0.0,0.11428571428571427,0.0,0.3428571428571429,3.6666666666666665,2
58.52777777777778,4,4,0.2777777777777778,0.5,0.08333333333333333,0.0,0.1111111111111111,0.0,0.3333333333333333,4.333333333333333,2
60.19178082191781,4,2,0.273972602739726,0.5205479452054794,0.0821917808219178,0.0,0.1095890410958904,0.0,0.3287671232876712,2.0,9
0.0,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
13.0,4,2,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,10
28.4,4,4,0.2,0.2,0.0,0.2,0.0,0.0,0.2,3.333333333333333,2
38.66666666666666,4,4,0.16666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,4.0,1
46.0,4,2,0.14285714285714285,0.5714285714285714,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,4.333333333333333,1
51.5,4,2,0.125,0.75,0.0,0.125,0.0,0.0,0.125,1.3333333333333333,5
53.88888888888889,4,3,0.2222222222222222,0.6666666666666666,0.0,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,2.333333333333333,10
57.5,4,3,0.3,0.6,0.0,0.2,0.1,0.0,0.2,5.333333333333333,0
60.45454545454545,4,4,0.2727272727272727,0.7272727272727273,0.0,0.18181818181818185,0.18181818181818185,0.0,0.18181818181818185,5.0,-1
62.91666666666666,4,2,0.25,0.8333333333333334,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,3.0,7
58.78571428571429,4,3,0.2857142857142857,0.7142857142857143,0.0,0.14285714285714285,0.14285714285714285,0.0,0.21428571428571427,2.0,0
60.86666666666667,4,3,0.26666666666666666,0.8666666666666667,0.0,0.13333333333333333,0.2,0.0,0.2,2.333333333333333,2
62.6875,4,4,0.25,0.875,0.0,0.125,0.1875,0.0,0.1875,0.6666666666666666,1
64.29411764705883,4,2,0.2352941176470588,0.9411764705882352,0.0,0.1176470588235294,0.17647058823529413,0.0,0.17647058823529413,1.0,5
65.72222222222223,4,3,0.2222222222222222,0.9444444444444444,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,2.6666666666666665,1
