mins-pm,team,opponent,cs-pm,goals-pm,assists-pm,yellow-cards-pm,red-cards-pm,bonus-pm,current-form,total
0,ARS,CRY,0,0,0,0,0,0,0,2
68.0,ARS,EVE,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1
47.0,ARS,MCI,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,1.0,13
57.75,ARS,AVL,0.0,0.25,0.25,0.25,0.0,0.75,4.666666666666667,0
48.8,ARS,TOT,0.0,0.2,0.2,0.4,0.0,0.6,4.333333333333333,1
51.0,ARS,CHE,0.0,0.16666666666666666,0.16666666666666666,0.5,0.0,0.5,4.666666666666667,2
55.42857142857143,ARS,HUL,0.0,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.0,0.42857142857142855,1.0,1
45.6,ARS,SWA,0.0,0.1,0.1,0.4,0.0,0.3,0.3333333333333333,1
42.54545454545455,ARS,MUN,0.0,0.09090909090909091,0.09090909090909091,0.36363636363636365,0.0,0.2727272727272727,0.3333333333333333,1
15.352941176470589,ARS,HUL,0.0,0.029411764705882353,0.029411764705882353,0.11764705882352941,0.0,0.08823529411764706,0.0,1
15.571428571428571,ARS,SWA,0.0,0.02857142857142857,0.02857142857142857,0.11428571428571428,0.0,0.08571428571428572,0.3333333333333333,1
15.805555555555555,ARS,MUN,0.0,0.027777777777777776,0.027777777777777776,0.1111111111111111,0.0,0.08333333333333333,0.6666666666666666,1
16.08219178082192,ARS,SUN,0.0,0.0273972602739726,0.0273972602739726,0.1095890410958904,0.0,0.0821917808219178,1.0,3
17.64864864864865,ARS,WBA,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.10810810810810811,0.0,0.08108108108108109,1.6666666666666667,8
0,ARS,BUR,0,0,0,0,0,0,0,1
1.1,ARS,SWA,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1
1.2105263157894737,ARS,SOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2.7,ARS,STK,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1
3.5,ARS,AVL,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,8
6.3478260869565215,ARS,TOT,0.043478260869565216,0.043478260869565216,0.0,0.0,0.0,0.0,3.0,1
6.625,ARS,LEI,0.041666666666666664,0.041666666666666664,0.0,0.0,0.0,0.0,3.0,7
8.25,ARS,WHU,0.03571428571428571,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,3
9.151515151515152,ARS,CHE,0.06060606060606061,0.06060606060606061,0.0,0.0,0.0,0.0,0.0,1
9.088235294117647,ARS,HUL,0.058823529411764705,0.058823529411764705,0.0,0.0,0.0,0.0,0.3333333333333333,1
8.971428571428572,ARS,SWA,0.05714285714285714,0.05714285714285714,0.0,0.0,0.0,0.0,0.6666666666666666,1
9.333333333333334,ARS,MUN,0.05555555555555555,0.05555555555555555,0.0,0.0,0.0,0.0,1.0,4
9.726027397260275,ARS,SUN,0.0547945205479452,0.0547945205479452,0.0273972602739726,0.0,0.0,0.0,2.0,1
10.243243243243244,ARS,WBA,0.05405405405405406,0.05405405405405406,0.02702702702702703,0.0,0.0,0.0,2.0,20
0,ARS,CRY,0,0,0,0,0,0,0,10
90.0,ARS,EVE,0.0,1.0,0.0,0.0,0.0,3.0,10.0,9
90.0,ARS,LEI,0.0,1.0,0.0,0.0,0.0,2.5,9.5,2
90.0,ARS,MCI,0.0,0.6666666666666666,0.0,0.0,0.0,1.6666666666666667,7.0,5
90.0,ARS,AVL,0.0,0.5,0.25,0.0,0.0,1.25,5.333333333333333,2
87.4,ARS,TOT,0.2,0.4,0.2,0.2,0.0,1.0,3.0,1
68.85714285714286,ARS,HUL,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.7142857142857143,1.0,1
63.75,ARS,SUN,0.125,0.25,0.125,0.125,0.0,0.625,0.6666666666666666,1
57.0,ARS,BUR,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.0,0.5555555555555556,0.6666666666666666,1
54.1,ARS,SWA,0.1,0.2,0.1,0.1,0.0,0.5,1.0,1
56.27272727272727,ARS,MUN,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.18181818181818182,0.0,0.45454545454545453,1.0,2
57.916666666666664,ARS,WBA,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.0,0.4166666666666667,1.3333333333333333,3
60.38461538461539,ARS,SOU,0.15384615384615385,0.15384615384615385,0.07692307692307693,0.15384615384615385,0.0,0.38461538461538464,2.0,6
62.5,ARS,STK,0.21428571428571427,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.35714285714285715,3.6666666666666665,7
45.95238095238095,ARS,MCI,0.14285714285714285,0.14285714285714285,0.09523809523809523,0.09523809523809523,0.0,0.23809523809523808,0.0,2
47.63636363636363,ARS,AVL,0.18181818181818182,0.13636363636363635,0.09090909090909091,0.13636363636363635,0.0,0.22727272727272727,0.6666666666666666,3
48.869565217391305,ARS,TOT,0.21739130434782608,0.13043478260869565,0.08695652173913043,0.13043478260869565,0.0,0.21739130434782608,1.6666666666666667,1
50.583333333333336,ARS,LEI,0.20833333333333334,0.125,0.08333333333333333,0.16666666666666666,0.0,0.20833333333333334,2.0,1
45.2962962962963,ARS,QPR,0.18518518518518517,0.1111111111111111,0.07407407407407407,0.14814814814814814,0.0,0.18518518518518517,0.3333333333333333,1
43.82142857142857,ARS,WHU,0.17857142857142858,0.10714285714285714,0.07142857142857142,0.14285714285714285,0.0,0.17857142857142858,0.3333333333333333,14
